City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Tiksi,RU,2022-02-02 05:37:07,71.6872,128.8694,-7.83,97,100,8.16
103,Lorengau,PG,2022-02-02 05:37:07,-2.0226,147.2712,77.07,85,100,3.83
104,Tessalit,ML,2022-02-02 05:37:08,20.1986,1.0114,56.61,26,55,10.92
105,Leningradskiy,RU,2022-02-02 05:35:20,69.3833,178.4167,-13.68,96,40,9.73
106,Erenhot,CN,2022-02-02 05:37:09,43.6475,111.9767,9.39,66,4,8.19
107,Kayes,ML,2022-02-02 05:37:09,14.0,-11.0,71.24,14,0,6.78
108,Rio Verde De Mato Grosso,BR,2022-02-02 05:34:45,-18.9181,-54.8442,70.38,98,97,5.26
109,Avarua,CK,2022-02-02 05:37:10,-21.2078,-159.775,80.65,83,75,12.66
110,Zaymishche,RU,2022-02-02 05:37:10,52.7264,32.2334,13.03,96,79,8.97
111,Katsuura,JP,2022-02-02 05:37:10,35.1333,140.3,50.14,32,14,3.94
112,Lagos,NG,2022-02-02 05:35:40,6.5833,3.75,71.92,70,6,3.51
113,Agadir,MA,2022-02-02 05:37:11,30.4202,-9.5982,57.65,38,61,7.67
114,Provideniya,RU,2022-02-02 05:37:11,64.3833,-173.3,10.98,58,0,21.23
115,Kavieng,PG,2022-02-02 05:37:12,-2.5744,150.7967,83.12,70,100,7.92
116,Jumla,NP,2022-02-02 05:37:12,29.2747,82.1838,53.08,21,0,5.97
117,Yaan,NG,2022-02-02 05:37:13,7.3833,8.5667,70.54,20,38,6.22
118,Timmins,CA,2022-02-02 05:36:32,48.4669,-81.3331,35.42,75,100,11.5
119,Salisbury,GB,2022-02-02 05:37:13,51.0693,-1.7957,49.28,90,75,10.36
120,Coquimbo,CL,2022-02-02 05:36:50,-29.9533,-71.3436,62.33,88,0,3.44
121,Chokurdakh,RU,2022-02-02 05:37:14,70.6333,147.9167,-4.68,90,100,4.23
122,Veraval,IN,2022-02-02 05:37:14,20.9,70.3667,78.28,46,1,6.71
123,Arraial Do Cabo,BR,2022-02-02 05:35:35,-22.9661,-42.0278,75.56,87,92,6.2
124,Hobart,AU,2022-02-02 05:37:15,-42.8794,147.3294,69.03,42,40,1.01
125,Port Blair,IN,2022-02-02 05:37:15,11.6667,92.75,81.39,62,43,9.31
126,Broome,US,2022-02-02 05:37:16,42.2506,-75.833,30.02,74,0,3.0
127,Guerrero Negro,MX,2022-02-02 05:37:16,27.9769,-114.0611,59.58,74,94,10.92
128,Hovd,MN,2022-02-02 05:37:17,48.0056,91.6419,-1.52,84,100,3.09
129,Isangel,VU,2022-02-02 05:37:17,-19.55,169.2667,84.31,84,75,0.0
130,Upernavik,GL,2022-02-02 05:37:18,72.7868,-56.1549,-12.3,70,100,4.52
131,Sorland,NO,2022-02-02 05:37:18,67.667,12.6934,26.67,60,100,13.94
132,Sandakan,MY,2022-02-02 05:37:19,5.8402,118.1179,85.68,74,40,5.99
133,Vostok,RU,2022-02-02 05:34:03,46.4856,135.8833,5.63,88,100,8.75
134,Saint-Augustin,CA,2022-02-02 05:38:19,51.226,-58.6502,-23.06,95,13,4.88
135,Saint George,US,2022-02-02 05:36:11,37.1041,-113.5841,39.63,29,0,1.99
136,Dali,CN,2022-02-02 05:38:20,25.7,100.1833,52.45,43,34,9.15
137,Sao Gabriel Da Cachoeira,BR,2022-02-02 05:38:20,-0.1303,-67.0892,72.41,94,29,2.21
138,Tiznit,MA,2022-02-02 05:38:21,29.5833,-9.5,62.22,27,91,3.85
139,Pangnirtung,CA,2022-02-02 05:38:21,66.1451,-65.7125,-10.21,81,91,4.5
140,Tuatapere,NZ,2022-02-02 05:38:22,-46.1333,167.6833,71.82,92,95,3.62
141,Puerto Suarez,BO,2022-02-02 05:38:22,-18.95,-57.8,72.66,98,99,3.02
142,Maltahohe,NA,2022-02-02 05:38:23,-24.8333,16.9833,69.66,68,87,9.06
143,Sire,NG,2022-02-02 05:38:23,12.9299,5.2043,56.93,18,55,9.69
144,Poplar Bluff,US,2022-02-02 05:38:24,36.757,-90.3929,51.87,88,100,9.22
145,Khilok,RU,2022-02-02 05:38:24,51.3674,110.4676,4.51,76,100,7.58
146,Zhenlai,CN,2022-02-02 05:38:25,45.8495,123.2973,11.79,60,11,7.56
147,Diu,IN,2022-02-02 05:38:25,20.7141,70.9822,80.58,35,0,1.68
148,Jinchang,CN,2022-02-02 05:38:26,38.4953,102.1739,30.15,24,28,8.52
149,Sola,VU,2022-02-02 05:38:26,-13.8833,167.55,80.69,78,100,14.92
150,Lucea,JM,2022-02-02 05:38:26,18.451,-78.1736,73.26,79,2,8.05
151,Nouakchott,MR,2022-02-02 05:38:27,18.0858,-15.9785,80.53,23,88,16.31
152,Clyde River,CA,2022-02-02 05:38:27,70.4692,-68.5914,-28.97,75,75,3.44
153,Mecca,SA,2022-02-02 05:38:25,21.4267,39.8261,73.17,32,0,1.41
154,Mildura,AU,2022-02-02 05:37:07,-34.2,142.15,77.07,19,0,18.41
155,Lashio,MM,2022-02-02 05:38:28,22.9333,97.75,71.2,28,0,4.65
156,Ust-Omchug,RU,2022-02-02 05:38:28,61.15,149.6333,-13.04,95,71,7.05
157,Biak,ID,2022-02-02 05:38:29,-0.9131,122.8766,82.92,61,100,1.57
158,Nizhnevartovsk,RU,2022-02-02 05:38:29,60.9344,76.5531,1.02,85,100,2.24
159,Norman Wells,CA,2022-02-02 05:38:30,65.282,-126.8329,-27.36,75,75,2.3
160,Mitu,CO,2022-02-02 05:38:30,1.1983,-70.1733,71.06,78,87,3.11
161,Talcahuano,CL,2022-02-02 05:38:31,-36.7167,-73.1167,58.68,88,100,9.22
162,Port Elizabeth,ZA,2022-02-02 05:34:56,-33.918,25.5701,80.89,74,0,3.44
163,Makat,KZ,2022-02-02 05:38:31,47.6469,53.3463,32.22,90,96,5.06
164,Eureka,US,2022-02-02 05:36:29,40.8021,-124.1637,47.25,80,0,8.01
165,Verkh-Usugli,RU,2022-02-02 05:38:32,52.7,115.1667,5.0,66,23,3.65
166,Kapuskasing,CA,2022-02-02 05:35:50,49.4169,-82.4331,28.49,64,100,25.32
167,Pangody,RU,2022-02-02 05:38:32,65.85,74.4859,-13.49,99,83,7.07
168,Thinadhoo,MV,2022-02-02 05:38:33,0.5333,72.9333,83.07,70,18,10.42
169,Nelson Bay,AU,2022-02-02 05:38:33,-32.7167,152.15,71.01,94,100,1.99
170,Bethel,US,2022-02-02 05:38:34,41.3712,-73.414,33.76,76,100,0.0
171,Merauke,ID,2022-02-02 05:38:34,-8.4667,140.3333,76.91,80,100,1.01
172,Axim,GH,2022-02-02 05:38:35,4.8699,-2.2405,77.27,86,86,2.06
173,Shu,KZ,2022-02-02 05:38:35,43.5983,73.7614,37.29,49,20,0.54
174,Aswan,EG,2022-02-02 05:38:36,24.0934,32.907,45.7,70,0,6.91
175,Aklavik,CA,2022-02-02 05:38:36,68.2191,-135.0107,-17.57,100,98,3.71
176,Igarka,RU,2022-02-02 05:38:36,67.4667,86.5833,5.94,95,98,9.06
177,Arlit,NE,2022-02-02 05:38:37,18.7369,7.3853,57.31,18,36,7.16
178,Hillsborough,US,2022-02-02 05:38:37,37.5741,-122.3794,56.48,31,0,4.0
