City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
451,Bronnoysund,NO,65.4625,12.1997,32.0,80,75,14.0,broken clouds
452,Hirara,JP,24.8,125.2833,68.27,88,75,9.22,broken clouds
453,Cayenne,GF,4.9333,-52.3333,77.09,87,100,6.91,overcast clouds
454,Yazman,PK,29.1212,71.7446,67.69,20,0,6.73,clear sky
455,Mandali,IQ,33.7499,45.5541,51.17,69,69,6.98,broken clouds
456,Sept-Iles,CA,50.2001,-66.3821,17.06,82,100,10.36,overcast clouds
457,Kaohsiung,TW,22.6163,120.3133,73.49,70,75,8.05,haze
458,Santa Cruz,BO,-17.8,-63.1667,78.26,89,75,3.44,broken clouds
459,Lao Cai,VN,22.4833,103.95,72.97,67,65,2.86,broken clouds
460,Annonay,FR,45.2397,4.6708,34.88,76,10,3.53,clear sky
461,Alice Springs,AU,-23.7,133.8833,87.35,20,0,10.36,clear sky
462,Wajima,JP,37.4,136.9,41.68,87,75,9.22,broken clouds
463,Kaeo,NZ,-35.1,173.7833,77.32,95,95,17.43,overcast clouds
464,Mahon,ES,39.8885,4.2658,45.16,93,0,4.61,clear sky
465,Baker City,US,44.7749,-117.8344,37.58,69,0,0.0,clear sky
466,Carutapera,BR,-1.195,-46.02,76.03,92,95,6.22,overcast clouds
467,Abeche,TD,13.8292,20.8324,63.3,15,3,9.37,clear sky
468,Ust-Ishim,RU,57.6935,71.1665,-7.28,93,8,8.79,clear sky
469,Lhokseumawe,ID,5.1801,97.1507,79.63,78,100,2.28,overcast clouds
470,Bolivar,US,37.6145,-93.4105,44.01,50,24,4.0,few clouds
471,Tonantins,BR,-2.8731,-67.8022,72.81,98,100,2.66,overcast clouds
472,Bama,NG,11.5221,13.6856,61.68,51,8,5.64,clear sky
473,Bitburg,DE,49.9667,6.5333,32.0,58,24,2.01,few clouds
474,Tigil,RU,57.8,158.6667,0.72,91,18,3.83,few clouds
475,Mount Gambier,AU,-37.8333,140.7667,80.51,29,3,6.91,clear sky
476,Bridlington,GB,54.0831,-0.1919,39.88,85,100,8.99,overcast clouds
477,Barguzin,RU,53.6167,109.6167,-9.58,93,54,1.41,broken clouds
478,Bathurst,AU,-33.4166,149.5806,82.83,52,19,5.01,few clouds
479,Tilichiki,RU,60.4667,166.1,-11.87,88,3,8.57,clear sky
480,Sobolevo,RU,54.4299,31.8996,22.41,96,99,7.45,overcast clouds
481,Takoradi,GH,4.8845,-1.7554,78.22,88,72,5.35,broken clouds
482,Amalapuram,IN,16.5833,82.0167,75.58,57,40,4.14,scattered clouds
483,Mucurici,BR,-18.0933,-40.5158,70.27,97,96,3.98,overcast clouds
484,Kimbe,PG,-5.5502,150.1429,80.58,83,99,5.82,light rain
485,Lufilufi,WS,-13.8745,-171.5986,83.98,74,40,11.16,scattered clouds
486,Novosergiyevka,RU,52.0934,53.6528,27.57,97,100,10.33,snow
487,Karimnagar,IN,18.4333,79.15,72.19,27,92,7.61,overcast clouds
488,Alekseyevsk,RU,57.8406,108.3492,-7.89,91,100,1.97,overcast clouds
489,Zamora,EC,-4.0692,-78.9567,67.3,99,100,1.48,light rain
490,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.88,88,99,7.92,overcast clouds
491,Ellisras,ZA,-23.6649,27.7443,63.3,54,0,4.09,clear sky
492,West Wendover,US,40.7391,-114.0733,40.84,53,38,3.18,scattered clouds
493,Nova Era,BR,-19.75,-43.0375,68.7,99,100,1.68,overcast clouds
494,Billings,US,45.7833,-108.5007,26.37,46,0,10.36,clear sky
495,Vizovice,CZ,49.2229,17.8545,35.87,90,86,1.92,overcast clouds
496,Banff,CA,51.1762,-115.5698,34.83,34,44,5.75,scattered clouds
497,Ajdabiya,LY,30.7554,20.2263,50.47,64,0,6.29,clear sky
498,Erzin,TR,36.9559,36.2,38.12,66,0,1.39,clear sky
499,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.64,94,100,7.54,light rain
500,Adrar,MR,20.5022,-10.0711,58.03,23,61,9.69,broken clouds
501,Cururupu,BR,-1.8283,-44.8683,75.43,94,100,3.27,overcast clouds
502,Ancud,CL,-41.8697,-73.8203,54.93,81,69,4.54,broken clouds
503,Manavalakurichi,IN,8.1333,77.3,86.09,62,66,5.03,broken clouds
504,Road Town,VG,18.4167,-64.6167,75.99,77,14,22.24,few clouds
505,Jishui,CN,33.7333,115.4,47.93,55,58,6.04,broken clouds
506,Kahului,US,20.8947,-156.47,78.82,69,20,8.05,few clouds
507,Colesberg,ZA,-30.72,25.0972,68.81,26,0,3.78,clear sky
508,Cap Malheureux,MU,-19.9842,57.6142,79.47,78,63,1.99,broken clouds
509,Plavsk,RU,53.7094,37.2919,21.31,96,100,7.2,light snow
510,La Romana,DO,18.4273,-68.9728,78.53,94,20,8.05,few clouds
511,Imbituba,BR,-28.24,-48.6703,77.83,87,8,8.66,clear sky
512,Grand Gaube,MU,-20.0064,57.6608,79.38,78,59,1.99,broken clouds
513,Honningsvag,NO,70.9821,25.9704,29.82,55,100,12.66,light snow
514,Terme,TR,41.2092,36.9739,46.33,60,0,5.28,clear sky
515,Bosansko Grahovo,BA,44.1794,16.3639,37.85,76,100,8.97,overcast clouds
516,Qui Nhon,VN,13.7667,109.2333,78.1,77,100,8.5,overcast clouds
517,Mahibadhoo,MV,3.7833,72.9667,81.16,67,100,3.53,overcast clouds
518,Gerlafingen,CH,47.1698,7.5751,30.31,86,0,5.75,clear sky
519,Marzuq,YE,14.4,46.4667,62.17,35,12,1.79,few clouds
520,Vung Tau,VN,10.346,107.0843,82.24,66,91,9.04,overcast clouds
521,Pisco,PE,-13.7,-76.2167,69.85,73,0,11.5,clear sky
522,Yatou,CN,37.15,122.3833,42.98,50,45,6.38,scattered clouds
523,Nanaimo,CA,49.1663,-123.936,44.37,94,40,18.41,scattered clouds
524,Watford,GB,51.6553,-0.396,39.42,90,100,2.3,overcast clouds
525,Neftcala,AZ,39.3742,49.2472,45.23,79,96,5.84,overcast clouds
526,Lagos,NG,6.5833,3.75,80.92,96,1,2.24,clear sky
527,Karakulino,RU,56.012,53.7067,23.16,93,98,8.12,overcast clouds
528,Cedar City,US,37.6775,-113.0619,42.4,36,0,11.5,clear sky
529,Kendal,GB,54.3268,-2.7476,42.44,86,100,18.57,overcast clouds
530,El Tigre,VE,8.8875,-64.2454,74.7,58,12,15.3,few clouds
531,Cabedelo,BR,-6.9811,-34.8339,79.47,81,62,10.07,broken clouds
532,Maniwaki,CA,46.3834,-75.966,34.18,93,100,6.91,overcast clouds
533,Jiazi,CN,22.8779,116.067,68.79,71,21,10.54,few clouds
534,Blagoyevo,RU,63.3667,47.9167,17.55,96,99,5.97,overcast clouds
535,Pimenta Bueno,BR,-11.6725,-61.1936,73.53,98,100,3.11,overcast clouds
536,Princeton,US,25.5384,-80.4089,73.99,93,0,4.61,clear sky
537,Latung,PH,5.5,120.8833,80.85,76,100,5.23,overcast clouds
538,Ballina,AU,-28.8667,153.5667,77.04,76,40,23.02,scattered clouds
539,Kailua,US,21.4022,-157.7394,78.78,63,40,4.61,scattered clouds
540,Upington,ZA,-28.4478,21.2561,71.98,60,0,4.61,clear sky
541,Calabozo,VE,8.9242,-67.4293,80.69,51,26,9.84,scattered clouds
542,Voh,NC,-20.9667,164.7,83.52,75,61,6.24,broken clouds
543,Banda Aceh,ID,5.5577,95.3222,82.33,73,76,11.16,broken clouds
544,Vila Velha,BR,-20.3297,-40.2925,73.35,96,75,3.44,broken clouds
545,Maningrida,AU,-12.0667,134.2667,87.85,57,46,7.4,scattered clouds
546,Nyurba,RU,63.2842,118.3319,-7.24,95,94,3.38,overcast clouds
547,Namibe,AO,-15.1961,12.1522,75.61,82,100,2.89,overcast clouds
548,Galle,LK,6.0367,80.217,80.74,77,99,3.6,overcast clouds
549,Shediac,CA,46.2198,-64.5411,36.23,75,75,9.22,broken clouds
550,Manggar,ID,-2.8833,108.2667,85.98,64,90,6.38,overcast clouds
551,Belo Jardim,BR,-8.3356,-36.4242,70.97,85,29,4.9,scattered clouds
552,Unguia,CO,8.0434,-77.0945,75.4,92,100,3.44,overcast clouds
553,Laives,IT,46.4228,11.3348,37.9,51,0,3.4,clear sky
554,Aldan,RU,58.6031,125.3894,-12.82,94,100,4.9,overcast clouds
555,Ishigaki,JP,24.3448,124.1572,68.13,100,75,10.36,broken clouds
556,Muli,MV,2.9167,73.5667,81.3,68,79,5.57,broken clouds
557,Mirabad,AF,30.4362,61.8383,53.64,29,0,9.35,clear sky
558,Sinnamary,GF,5.3833,-52.95,75.76,89,78,9.51,broken clouds
559,Kloulklubed,PW,7.0419,134.2556,86.5,75,39,19.1,scattered clouds
560,Vila Franca Do Campo,PT,37.7167,-25.4333,61.2,79,93,3.96,overcast clouds
561,Aswan,EG,24.0934,32.907,49.3,57,0,5.75,clear sky
562,Muyezerskiy,RU,63.9333,31.65,17.35,92,99,10.02,overcast clouds
563,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,22,0,5.75,clear sky
564,Malumfashi,NG,11.7853,7.6218,56.14,19,1,10.09,clear sky
565,Kasempa,ZM,-13.4584,25.8338,62.76,97,100,3.31,overcast clouds
566,Togur,RU,58.3631,82.8265,-9.11,96,32,6.58,scattered clouds
567,Glendive,US,47.1053,-104.7125,21.18,73,100,0.0,overcast clouds
568,Morant Bay,JM,17.8815,-76.4093,78.42,80,5,8.81,clear sky
569,Okha,RU,53.5739,142.9478,22.5,86,95,7.27,overcast clouds
570,Qandala,SO,11.472,49.8728,72.95,62,15,6.22,few clouds
571,Manokwari,ID,-0.8667,134.0833,81.63,73,99,3.94,overcast clouds
572,Harper,LR,4.375,-7.7169,77.97,87,6,6.6,clear sky
573,Ewa Beach,US,21.3156,-158.0072,79.02,58,0,8.05,clear sky
574,Kovdor,RU,67.5662,30.4758,9.91,95,100,3.94,overcast clouds
575,Marrakesh,MA,31.6315,-8.0083,48.27,71,0,6.91,clear sky
576,Innisfail,AU,-17.5333,146.0333,95.22,61,3,9.08,clear sky
577,Gander,CA,48.9682,-54.5906,28.78,74,20,12.66,few clouds
578,Mogadishu,SO,2.0371,45.3438,76.87,78,20,16.11,few clouds
579,Gamba,GA,-2.65,10.0,76.3,91,98,5.37,overcast clouds
580,Cabrero,CL,-37.0333,-72.4,66.51,37,0,9.17,clear sky
581,Saurimo,AO,-9.6608,20.3916,62.02,96,94,0.85,overcast clouds
